epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,404.11,0.35448,0.41405,0.29101,0.81362,0.99957,0.99296,0.995,0.9675,0.99957,0.99296,0.995,0.93385,0.25943,0.28971,0.21704,0.79678,0.001208,0.001208,0.001208
82,411.108,0.37693,0.48381,0.30701,0.81977,0.99957,0.99296,0.995,0.97077,0.99957,0.99296,0.995,0.94836,0.2724,0.27856,0.21819,0.79867,0.0011981,0.0011981,0.0011981
83,415.845,0.35679,0.43731,0.28567,0.81089,0.99955,0.99296,0.995,0.97197,0.99955,0.99296,0.995,0.94648,0.27549,0.29941,0.21828,0.80301,0.0011882,0.0011882,0.0011882
84,420.163,0.37199,0.46089,0.29444,0.82481,0.99937,0.99296,0.995,0.96816,0.99937,0.99296,0.995,0.93584,0.27841,0.3132,0.22228,0.8013,0.0011783,0.0011783,0.0011783
85,424.439,0.35022,0.44601,0.28961,0.81286,0.99949,0.99296,0.995,0.96776,0.99949,0.99296,0.995,0.92913,0.26846,0.30139,0.2196,0.7953,0.0011684,0.0011684,0.0011684
86,428.652,0.36193,0.43744,0.2878,0.81077,1,0.99267,0.995,0.96331,1,0.99267,0.995,0.92614,0.28748,0.30825,0.21879,0.79777,0.0011585,0.0011585,0.0011585
87,432.887,0.3543,0.43514,0.28658,0.81117,0.99958,0.99296,0.995,0.96571,0.9925,0.98592,0.98802,0.92312,0.29597,0.36818,0.22091,0.80365,0.0011486,0.0011486,0.0011486
88,437.184,0.3633,0.41009,0.28475,0.81626,0.99951,0.99296,0.995,0.96754,0.99242,0.98592,0.98566,0.93527,0.28428,0.3438,0.21587,0.80513,0.0011387,0.0011387,0.0011387
89,441.494,0.35937,0.44097,0.28818,0.81932,0.99958,0.99296,0.995,0.9684,0.99249,0.98592,0.99151,0.94198,0.27983,0.35743,0.20757,0.79838,0.0011288,0.0011288,0.0011288
90,445.766,0.3637,0.4168,0.2907,0.81332,0.99928,0.99296,0.995,0.96453,0.99219,0.98592,0.99391,0.94054,0.28735,0.34708,0.20788,0.79924,0.0011189,0.0011189,0.0011189
91,450.059,0.37085,0.41118,0.28983,0.8178,0.99923,0.99296,0.995,0.97775,0.99923,0.99296,0.995,0.94676,0.26646,0.35958,0.20587,0.79683,0.001109,0.001109,0.001109
92,454.3,0.36068,0.40656,0.29454,0.81214,0.99927,0.99296,0.995,0.97904,0.99927,0.99296,0.995,0.9448,0.25662,0.35324,0.2122,0.7938,0.0010991,0.0010991,0.0010991
93,458.571,0.37054,0.48077,0.29607,0.82131,0.99938,0.99296,0.995,0.97454,0.99938,0.99296,0.995,0.95247,0.25631,0.32796,0.21008,0.79591,0.0010892,0.0010892,0.0010892
94,462.94,0.3643,0.43883,0.28711,0.81852,0.99959,0.99296,0.995,0.9741,0.99959,0.99296,0.995,0.94747,0.27288,0.30953,0.21595,0.80152,0.0010793,0.0010793,0.0010793
95,467.373,0.35296,0.43924,0.28793,0.81308,0.99947,0.99296,0.995,0.97405,0.99237,0.98592,0.99024,0.94593,0.27292,0.41037,0.21207,0.79811,0.0010694,0.0010694,0.0010694
96,471.677,0.33574,0.42041,0.27599,0.80601,0.99947,0.99296,0.995,0.97796,0.99239,0.98592,0.9886,0.94226,0.2623,0.36997,0.19959,0.79529,0.0010595,0.0010595,0.0010595
97,475.965,0.35099,0.39721,0.28488,0.81295,0.99958,0.99296,0.995,0.97738,0.99249,0.98592,0.98987,0.93225,0.25337,0.33007,0.20229,0.79189,0.0010496,0.0010496,0.0010496
98,480.316,0.36142,0.42012,0.29474,0.81429,0.99959,0.99296,0.995,0.97665,0.99959,0.99296,0.995,0.94132,0.25846,0.31409,0.21446,0.79312,0.0010397,0.0010397,0.0010397
99,484.556,0.35466,0.43098,0.28023,0.81538,0.9995,0.99296,0.995,0.96672,0.9995,0.99296,0.995,0.94574,0.27012,0.31702,0.20867,0.79254,0.0010298,0.0010298,0.0010298
100,488.837,0.36848,0.43648,0.28847,0.81938,0.99946,0.99296,0.995,0.96935,0.99237,0.98592,0.9843,0.94165,0.26793,0.27743,0.20103,0.79421,0.0010199,0.0010199,0.0010199
101,493.16,0.36532,0.40911,0.28014,0.82236,0.99951,0.99296,0.995,0.97612,0.99243,0.98592,0.9921,0.93276,0.26463,0.28732,0.20542,0.79412,0.00101,0.00101,0.00101
102,497.404,0.35479,0.39883,0.28589,0.81829,0.9995,0.99296,0.995,0.97718,0.9995,0.99296,0.995,0.93522,0.2746,0.28214,0.204,0.79148,0.0010001,0.0010001,0.0010001
103,501.687,0.35201,0.41248,0.28349,0.8138,0.99958,0.99296,0.995,0.97677,0.99958,0.99296,0.995,0.96005,0.25705,0.2965,0.19216,0.79644,0.0009902,0.0009902,0.0009902
104,506.001,0.34803,0.42468,0.27355,0.80844,0.99957,0.99296,0.995,0.97354,0.99957,0.99296,0.995,0.94839,0.27007,0.29744,0.2201,0.79961,0.0009803,0.0009803,0.0009803
105,510.274,0.35218,0.41558,0.28475,0.81073,0.99959,0.99296,0.995,0.97474,0.99959,0.99296,0.995,0.93871,0.24748,0.35276,0.19384,0.79966,0.0009704,0.0009704,0.0009704
106,514.598,0.34686,0.41232,0.27525,0.816,0.99961,0.99296,0.995,0.97683,0.99252,0.98592,0.98851,0.93944,0.25426,0.32915,0.20823,0.7983,0.0009605,0.0009605,0.0009605
107,518.92,0.34778,0.42053,0.27358,0.81085,0.99959,0.99296,0.995,0.96805,0.9925,0.98592,0.98931,0.93303,0.26721,0.35798,0.20227,0.80284,0.0009506,0.0009506,0.0009506
108,523.514,0.34563,0.40282,0.27765,0.81273,0.99933,0.99296,0.995,0.97503,0.99933,0.99296,0.995,0.94863,0.25493,0.33587,0.18825,0.79993,0.0009407,0.0009407,0.0009407
