epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,494.87,0.30182,0.36859,0.23683,0.78337,0.99183,0.992,0.99196,0.97674,0.99183,0.992,0.99196,0.90235,0.22829,0.32093,0.20083,0.7609,0.0007196,0.0007196,0.0007196
99,499.694,0.31505,0.37839,0.2397,0.78358,0.99174,0.992,0.99222,0.97581,0.99174,0.992,0.99222,0.90069,0.23546,0.31918,0.20305,0.7608,0.0007064,0.0007064,0.0007064
100,504.528,0.3118,0.36395,0.24032,0.78893,0.99172,0.992,0.99292,0.97817,0.99172,0.992,0.99292,0.90474,0.23888,0.31369,0.19888,0.76003,0.0006932,0.0006932,0.0006932
101,509.321,0.30677,0.36612,0.24516,0.78723,0.99177,0.992,0.99294,0.9781,0.99177,0.992,0.99294,0.90097,0.23925,0.31028,0.20024,0.76164,0.00068,0.00068,0.00068
102,514.112,0.29996,0.37112,0.23777,0.79341,0.99176,0.992,0.99309,0.97771,0.99176,0.992,0.99309,0.90344,0.22643,0.31241,0.19875,0.76014,0.0006668,0.0006668,0.0006668
103,518.929,0.308,0.36985,0.24553,0.7856,0.9917,0.992,0.99286,0.97704,0.9917,0.992,0.99286,0.90218,0.23392,0.31306,0.20397,0.76095,0.0006536,0.0006536,0.0006536
104,523.766,0.31131,0.3745,0.24339,0.78366,0.99176,0.992,0.9922,0.97399,0.99176,0.992,0.9922,0.90544,0.23824,0.31456,0.1996,0.76096,0.0006404,0.0006404,0.0006404
105,528.55,0.30884,0.37951,0.24166,0.78771,0.99177,0.992,0.99291,0.97562,0.99177,0.992,0.99291,0.90288,0.24161,0.31966,0.20339,0.76135,0.0006272,0.0006272,0.0006272
106,533.415,0.31198,0.36334,0.24143,0.78541,0.99174,0.992,0.99198,0.97632,0.99174,0.992,0.99198,0.89114,0.23837,0.31832,0.20099,0.76039,0.000614,0.000614,0.000614
107,538.239,0.30275,0.37015,0.23413,0.78377,0.99193,0.992,0.9911,0.97574,0.99193,0.992,0.9911,0.89691,0.23125,0.31436,0.20266,0.76077,0.0006008,0.0006008,0.0006008
108,543.091,0.30686,0.37525,0.23471,0.78556,0.99178,0.992,0.99105,0.97729,0.99178,0.992,0.99105,0.91012,0.22439,0.30199,0.20267,0.759,0.0005876,0.0005876,0.0005876
109,547.958,0.30392,0.36594,0.23763,0.78828,0.99168,0.992,0.9913,0.9762,0.99168,0.992,0.9913,0.89873,0.22787,0.29709,0.20462,0.75984,0.0005744,0.0005744,0.0005744
110,552.705,0.29264,0.34197,0.2318,0.78481,0.99178,0.992,0.99314,0.97892,0.99178,0.992,0.99314,0.908,0.23641,0.31042,0.19655,0.76129,0.0005612,0.0005612,0.0005612
111,557.483,0.30012,0.35785,0.23989,0.7885,0.99188,0.992,0.9899,0.97346,0.99188,0.992,0.9899,0.89838,0.24299,0.31826,0.20953,0.76225,0.000548,0.000548,0.000548
112,562.336,0.30139,0.3599,0.23576,0.78241,0.99177,0.992,0.99226,0.97621,0.99177,0.992,0.99226,0.90824,0.23227,0.3157,0.19543,0.76163,0.0005348,0.0005348,0.0005348
113,567.169,0.30125,0.36438,0.23526,0.78423,0.99138,0.992,0.99072,0.97485,0.99138,0.992,0.99072,0.89581,0.23516,0.32332,0.2017,0.76063,0.0005216,0.0005216,0.0005216
114,572.039,0.29883,0.3602,0.23544,0.78961,0.992,0.99169,0.99115,0.97526,0.992,0.99169,0.99115,0.89931,0.235,0.30635,0.20812,0.76024,0.0005084,0.0005084,0.0005084
115,576.908,0.30419,0.36686,0.2332,0.78813,0.99105,0.992,0.99138,0.9749,0.99105,0.992,0.99138,0.90007,0.23444,0.30674,0.19648,0.75809,0.0004952,0.0004952,0.0004952
116,581.772,0.29192,0.34055,0.22969,0.78801,0.99175,0.992,0.99261,0.97528,0.99175,0.992,0.99261,0.90722,0.22496,0.31007,0.19027,0.75937,0.000482,0.000482,0.000482
117,586.641,0.29876,0.36052,0.22969,0.78441,0.9918,0.992,0.99133,0.97511,0.9918,0.992,0.99133,0.89964,0.24014,0.31181,0.20558,0.75976,0.0004688,0.0004688,0.0004688
118,591.445,0.29596,0.35039,0.2284,0.78399,0.99164,0.992,0.9917,0.97285,0.99164,0.992,0.9917,0.90398,0.22628,0.31137,0.20205,0.76001,0.0004556,0.0004556,0.0004556
119,596.376,0.30012,0.35256,0.23106,0.78597,0.99177,0.992,0.99035,0.97522,0.99177,0.992,0.99035,0.89919,0.23555,0.30853,0.20011,0.76107,0.0004424,0.0004424,0.0004424
120,601.226,0.29205,0.34339,0.22621,0.78521,0.99177,0.992,0.99165,0.97653,0.99177,0.992,0.99165,0.90634,0.22477,0.30853,0.19177,0.75859,0.0004292,0.0004292,0.0004292
121,606.132,0.2969,0.35198,0.2275,0.7885,0.99184,0.992,0.99099,0.97826,0.99184,0.992,0.99099,0.90129,0.23446,0.31415,0.2053,0.76024,0.000416,0.000416,0.000416
122,611.159,0.28103,0.34295,0.22179,0.78376,0.992,0.99142,0.99093,0.97628,0.992,0.99142,0.99093,0.90195,0.23101,0.30545,0.20073,0.75913,0.0004028,0.0004028,0.0004028
123,616.028,0.28645,0.35241,0.22375,0.77885,0.992,0.99191,0.99031,0.97816,0.992,0.99191,0.99031,0.90399,0.21948,0.31064,0.18796,0.75917,0.0003896,0.0003896,0.0003896
124,621.119,0.29348,0.36512,0.22723,0.78111,0.99176,0.992,0.99106,0.97941,0.99176,0.992,0.99106,0.90852,0.22486,0.31057,0.18913,0.75905,0.0003764,0.0003764,0.0003764
125,626.295,0.27783,0.34505,0.22577,0.78616,0.99176,0.992,0.99267,0.97928,0.99176,0.992,0.99267,0.91687,0.22727,0.30539,0.19196,0.76115,0.0003632,0.0003632,0.0003632
126,631.358,0.29142,0.35837,0.22243,0.7862,0.99181,0.992,0.99355,0.98004,0.99181,0.992,0.99355,0.91334,0.22282,0.31189,0.19241,0.75844,0.00035,0.00035,0.00035
127,636.329,0.28868,0.34532,0.22425,0.78279,0.992,0.99162,0.99254,0.97921,0.992,0.99162,0.99254,0.91217,0.22113,0.29977,0.19519,0.75751,0.0003368,0.0003368,0.0003368
128,641.439,0.28911,0.34981,0.22089,0.78771,0.992,0.99191,0.99138,0.97586,0.992,0.99191,0.99138,0.90464,0.22304,0.3048,0.18889,0.75875,0.0003236,0.0003236,0.0003236
129,646.264,0.28778,0.34971,0.2203,0.78752,0.99182,0.992,0.992,0.97469,0.99182,0.992,0.992,0.90641,0.22863,0.30777,0.18493,0.75948,0.0003104,0.0003104,0.0003104
130,651.077,0.2809,0.33855,0.21914,0.78541,0.99178,0.992,0.99237,0.97935,0.99178,0.992,0.99237,0.91643,0.21818,0.30648,0.17618,0.75827,0.0002972,0.0002972,0.0002972
